Entity,Code,Year,temp_contrib_total,temp_contrib_n2o,temp_contrib_ch4,temp_contrib_co2,ghg_emissions_co2eq,temp_contrib_fossil,temp_contrib_land
Asia,,2021,0.5747484,0.027392648,0.1935041,0.35385165,29780093000.0,0.38542038,0.189328
North America,,2021,0.3520481,0.015204676,0.052687533,0.2841559,7863161000.0,0.260781,0.091267124
Europe,,2021,0.340648,0.01938027,0.053138055,0.26812968,6816497000.0,0.28625023,0.054397766
Asia (excl. China and India),,2021,0.29925045,0.012032045,0.097604096,0.18961431,12168530000.0,0.18205924,0.1171912
United States,USA,2021,0.27919552,0.011453711,0.0351467,0.23259512,5925714400.0,0.21983296,0.05936258
European Union (28),,2021,0.20569521,0.012855889,0.026983544,0.16585577,3802795500.0,0.18825418,0.017441034
China,CHN,2021,0.1986808,0.008986227,0.061936866,0.12775771,13710636000.0,0.16334566,0.035335135
Europe (excl. EU-27),,2021,0.17378294,0.008260551,0.029217012,0.13630539,3434596900.0,0.13431956,0.039463386
European Union (27),,2021,0.16686505,0.011119719,0.023921045,0.13182428,3381900300.0,0.15193067,0.014934378
Africa,,2021,0.14794968,0.010731952,0.060163982,0.077053756,4728741000.0,0.058932513,0.089017175
South America,,2021,0.14466543,0.0065986086,0.04576563,0.0923012,3644614700.0,0.03833513,0.1063303
Europe (excl. EU-28),,2021,0.1349528,0.00652438,0.02615451,0.1022739,3013701600.0,0.09799606,0.036956728
Russia,RUS,2021,0.09821427,0.003758767,0.0197363,0.0747192,2410954200.0,0.07111569,0.02709858
Brazil,BRA,2021,0.07845856,0.003386359,0.024307035,0.050765168,2149922600.0,0.016494218,0.06196434
India,IND,2021,0.076817125,0.006374376,0.033963133,0.036479615,3900927000.0,0.04001547,0.036801655
